size_class,severity,method,n_is,nd_size_median,nd_size_q1,nd_size_q3,nd_size_iqr,contrib_inclusive_median,contrib_inclusive_q1,contrib_inclusive_q3,contrib_inclusive_iqr,contrib_unique_median,contrib_unique_q1,contrib_unique_q3,contrib_unique_iqr,runtime_median_seconds_median,runtime_median_seconds_q1,runtime_median_seconds_q3,runtime_median_seconds_iqr,ttff_median_seconds_median,ttff_median_seconds_q1,ttff_median_seconds_q3,ttff_median_seconds_iqr,feasibility_rate_median,feasibility_rate_q1,feasibility_rate_q3,feasibility_rate_iqr
large,leicht,V1,4,3.5,3.0,4.0,1.0,0.02373908143138912,0.020565958342099726,0.030219780219780223,0.009653821877680498,0.015343915343915344,0.01216640502354788,0.024610258989187832,0.012443853965639951,34.023500000010245,30.945500000008906,35.38225000000239,4.436749999993481,4.42949999999837,2.077499999992142,9.945249999989755,7.8677499999976135,1.0,1.0,1.0,0.0
large,leicht,V2,4,1.0,1.0,2.0,1.0,0.007671957671957672,0.0,0.01012677798392084,0.01012677798392084,0.0,0.0,0.0,0.0,13.437499999985448,11.855249999993248,14.2302500000078,2.375000000014552,2.1715000000112923,2.0120000000097207,2.2422499999956926,0.23024999998597195,1.0,1.0,1.0,0.0
large,leicht,V3,4,23.5,23.0,25.0,2.0,0.04964276915496428,0.023412698412698413,0.09057971014492752,0.06716701173222911,0.03849470312884947,0.015608465608465608,0.07650501672240803,0.060896551113942425,71.80449999999837,71.05125000000407,72.90249999998923,1.851249999985157,0.046999999991385266,0.04674999999406282,0.05099999999220017,0.004249999998137355,1.0,1.0,1.0,0.0
large,leicht,V4,4,107.5,89.75,130.5,40.75,0.9415996374759261,0.9034552845528456,0.9604988052568697,0.057043520704024075,0.9309504928061629,0.8899108138238572,0.9525985663082438,0.06268775248438663,90.0,90.0,90.0,0.0,0.03149999999732245,0.030999999988125637,0.0470000000204891,0.01600000003236346,1.0,1.0,1.0,0.0
large,mittel,V1,4,5.0,4.0,5.0,1.0,0.021972501322051825,0.01721134415720159,0.027199528672427337,0.009988184515225748,0.02087144920558498,0.01721134415720159,0.025809716599190284,0.008598372441988696,35.53850000000966,33.88225000001694,35.89049999998679,2.0082499999698484,4.327999999994063,1.980249999993248,9.890749999991385,7.910499999998137,1.0,1.0,1.0,0.0
large,mittel,V2,4,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.945000000006985,11.652249999984633,13.273250000005646,1.621000000021013,2.109500000005937,2.0702500000043074,2.1607500000027358,0.0904999999984284,1.0,0.0,1.0,1.0
large,mittel,V3,4,24.5,23.75,25.25,1.5,0.04765725288831836,0.01675752069452857,0.07353718134988772,0.05677966065535915,0.04084907390427288,0.014789016757520696,0.07132479196935676,0.056535775211836066,71.95299999999406,71.38249999998516,72.7420000000202,1.359500000035041,0.046999999991385266,0.04674999999406282,0.0507500000167056,0.00400000002264278,1.0,1.0,1.0,0.0
large,mittel,V4,4,126.5,112.75,135.25,22.5,0.9424857876398313,0.8992591068121012,0.9536019536019535,0.05434284678985235,0.9356776086557858,0.8970467174315703,0.9457678522194651,0.04872113478789486,90.0,90.0,90.01600000000326,0.01600000000325963,0.03150000001187436,0.030999999988125637,0.046999999991385266,0.01600000000325963,1.0,1.0,1.0,0.0
large,schwer,V1,4,4.5,4.0,5.25,1.25,0.036062378167641324,0.032484585521808634,0.04007273706896552,0.007588151547156884,0.03498572011423909,0.032484585521808634,0.03889183859223301,0.006407253070424376,38.42950000001292,37.46524999999383,43.808499999999185,6.343250000005355,7.89100000000326,2.1405000000158907,12.484249999986787,10.343749999970896,1.0,1.0,1.0,0.0
large,schwer,V2,4,0.0,0.0,1.0,1.0,0.0,0.0,0.007674199623352166,0.007674199623352166,0.0,0.0,0.001851851851851852,0.001851851851851852,12.265499999994063,11.480249999993248,12.800999999999476,1.3207500000062282,2.235000000015134,2.2179999999934807,9.23399999999674,7.01600000000326,0.0,0.0,1.0,1.0
