size_class,severity,method_a,method_b,n_is,coverage_median,coverage_q1,coverage_q3,coverage_iqr
medium,schwer,V1,V2,4,0.25,0.0,0.41666666666666663,0.41666666666666663
medium,schwer,V1,V3,4,0.0,0.0,0.0,0.0
medium,schwer,V1,V4,4,0.0,0.0,0.0,0.0
medium,schwer,V2,V1,4,0.07142857142857142,0.0,0.16666666666666666,0.16666666666666666
medium,schwer,V2,V2,4,0.0,0.0,0.0,0.0
medium,schwer,V2,V3,4,0.0,0.0,0.0,0.0
medium,schwer,V2,V4,4,0.0,0.0,0.0,0.0
medium,schwer,V3,V1,4,0.225,0.10714285714285714,0.2857142857142857,0.17857142857142855
medium,schwer,V3,V2,4,0.25,0.0,0.3333333333333333,0.3333333333333333
medium,schwer,V3,V3,4,0.0,0.0,0.0,0.0
medium,schwer,V3,V4,4,0.0,0.0,0.019262082747391017,0.019262082747391017
medium,schwer,V4,V1,4,0.07142857142857142,0.0,0.175,0.175
medium,schwer,V4,V2,4,0.0,0.0,0.2708333333333333,0.2708333333333333
medium,schwer,V4,V3,4,0.7886904761904762,0.7116402116402116,0.8572727272727273,0.14563251563251567
medium,schwer,V4,V4,4,0.0,0.0,0.0,0.0
small,leicht,V1,V1,4,0.0,0.0,0.0,0.0
small,leicht,V1,V2,4,0.16666666666666666,0.0,0.375,0.375
small,leicht,V1,V3,4,0.30492424242424243,0.26976284584980237,0.4741847826086957,0.2044219367588933
small,leicht,V1,V4,4,0.15179147094040712,0.05714285714285715,0.20507803149983245,0.14793517435697529
small,leicht,V2,V1,4,0.0,0.0,0.05,0.05
small,leicht,V2,V2,4,0.0,0.0,0.0,0.0
small,leicht,V2,V3,4,0.0,0.0,0.0,0.0
small,leicht,V2,V4,4,0.0,0.0,0.0,0.0
small,leicht,V3,V1,4,0.1,0.0,0.25,0.25
small,leicht,V3,V2,4,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333
small,leicht,V3,V3,4,0.0,0.0,0.0,0.0
small,leicht,V3,V4,4,0.0,0.0,0.0,0.0
small,leicht,V4,V1,4,0.1,0.0,0.25,0.25
small,leicht,V4,V2,4,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333
small,leicht,V4,V3,4,0.6515151515151515,0.5788043478260869,0.8278985507246377,0.24909420289855078
small,leicht,V4,V4,4,0.0,0.0,0.0,0.0
small,mittel,V1,V1,4,0.0,0.0,0.0,0.0
small,mittel,V1,V2,4,0.3333333333333333,0.1875,0.6875,0.5
small,mittel,V1,V3,4,0.4373913043478261,0.4147727272727273,0.4786956521739131,0.06392292490118578
small,mittel,V1,V4,4,0.016368354514605096,0.0,0.04484565352054512,0.04484565352054512
small,mittel,V2,V1,4,0.0,0.0,0.175,0.175
small,mittel,V2,V2,4,0.0,0.0,0.0,0.0
small,mittel,V2,V3,4,0.0,0.0,0.0,0.0
small,mittel,V2,V4,4,0.0,0.0,0.0,0.0
small,mittel,V3,V1,4,0.18333333333333335,0.125,0.25,0.125
small,mittel,V3,V2,4,0.3333333333333333,0.1875,0.375,0.1875
small,mittel,V3,V3,4,0.0,0.0,0.0,0.0
small,mittel,V3,V4,4,0.0,0.0,0.0,0.0
small,mittel,V4,V1,4,0.16666666666666666,0.0,0.2,0.2
small,mittel,V4,V2,4,0.29166666666666663,0.1875,0.3333333333333333,0.14583333333333331
small,mittel,V4,V3,4,0.6878260869565218,0.63625,0.7646103896103895,0.12836038961038954
small,mittel,V4,V4,4,0.0,0.0,0.0,0.0
small,schwer,V1,V1,4,0.0,0.0,0.0,0.0
small,schwer,V1,V2,4,0.29166666666666663,0.25,0.3333333333333333,0.08333333333333331
small,schwer,V1,V3,4,0.4128787878787879,0.33475783475783477,0.4767080745341614,0.14195023977632665
small,schwer,V1,V4,4,0.0,0.0,0.0,0.0
small,schwer,V2,V1,4,0.0,0.0,0.15714285714285714,0.15714285714285714
small,schwer,V2,V2,4,0.0,0.0,0.0,0.0
small,schwer,V2,V3,4,0.0,0.0,0.0,0.0
small,schwer,V2,V4,4,0.0,0.0,0.0,0.0
small,schwer,V3,V1,4,0.2,0.0,0.2875,0.2875
small,schwer,V3,V2,4,0.3333333333333333,0.1875,0.3333333333333333,0.14583333333333331
small,schwer,V3,V3,4,0.0,0.0,0.0,0.0
small,schwer,V3,V4,4,0.0,0.0,0.0,0.0
small,schwer,V4,V1,4,0.2,0.16666666666666666,0.2708333333333333,0.10416666666666666
small,schwer,V4,V2,4,0.29166666666666663,0.25,0.3333333333333333,0.08333333333333331
small,schwer,V4,V3,4,0.681159420289855,0.604669887278583,0.7182539682539683,0.1135840809753853
small,schwer,V4,V4,4,0.0,0.0,0.0,0.0
all,all,V1,V1,36,0.0,0.0,0.0,0.0
all,all,V1,V2,34,0.25,0.0,0.3333333333333333,0.3333333333333333
all,all,V1,V3,36,0.0,0.0,0.32196969696969696,0.32196969696969696
all,all,V1,V4,36,0.0,0.0,0.0,0.0
all,all,V2,V1,36,0.0,0.0,0.14285714285714285,0.14285714285714285
all,all,V2,V2,34,0.0,0.0,0.0,0.0
all,all,V2,V3,36,0.0,0.0,0.0,0.0
all,all,V2,V4,36,0.0,0.0,0.0,0.0
all,all,V3,V1,36,0.2,0.0,0.3333333333333333,0.3333333333333333
all,all,V3,V2,34,0.25,0.0,0.3333333333333333,0.3333333333333333
all,all,V3,V3,36,0.0,0.0,0.0,0.0
all,all,V3,V4,36,0.0,0.0,0.007698170731707318,0.007698170731707318
all,all,V4,V1,36,0.2,0.0,0.3333333333333333,0.3333333333333333
all,all,V4,V2,34,0.25,0.0,0.3333333333333333,0.3333333333333333
all,all,V4,V3,36,0.7391304347826086,0.625,0.8415384615384616,0.21653846153846157
all,all,V4,V4,36,0.0,0.0,0.0,0.0
