size_class,severity,method_a,method_b,n_is,coverage_median,coverage_q1,coverage_q3,coverage_iqr
medium,mittel,V3,V2,4,0.18333333333333335,0.1607142857142857,0.23333333333333334,0.07261904761904764
medium,mittel,V3,V3,4,0.0,0.0,0.0,0.0
medium,mittel,V3,V4,4,0.00847457627118644,0.0,0.05632888568337541,0.05632888568337541
medium,mittel,V4,V1,4,0.18333333333333335,0.15625,0.21250000000000002,0.05625000000000002
medium,mittel,V4,V2,4,0.24285714285714285,0.19166666666666668,0.3392857142857143,0.14761904761904762
medium,mittel,V4,V3,4,0.9162087912087913,0.8389015645371578,0.9418831168831169,0.10298155234595907
medium,mittel,V4,V4,4,0.0,0.0,0.0,0.0
medium,schwer,V1,V1,4,0.0,0.0,0.0,0.0
medium,schwer,V1,V2,4,0.21428571428571427,0.10714285714285714,0.4017857142857143,0.29464285714285715
medium,schwer,V1,V3,4,0.0,0.0,0.016666666666666666,0.016666666666666666
medium,schwer,V1,V4,4,0.0,0.0,0.0,0.0
medium,schwer,V2,V1,4,0.0,0.0,0.022727272727272728,0.022727272727272728
medium,schwer,V2,V2,4,0.0,0.0,0.0,0.0
medium,schwer,V2,V3,4,0.0,0.0,0.0,0.0
medium,schwer,V2,V4,4,0.0,0.0,0.0,0.0
medium,schwer,V3,V1,4,0.19090909090909092,0.16761363636363635,0.2,0.03238636363636366
medium,schwer,V3,V2,4,0.2857142857142857,0.2767857142857143,0.2976190476190476,0.020833333333333315
medium,schwer,V3,V3,4,0.0,0.0,0.0,0.0
medium,schwer,V3,V4,4,0.0022026431718061676,0.0,0.009151917974083521,0.009151917974083521
medium,schwer,V4,V1,4,0.1625,0.09375,0.2,0.10625000000000001
medium,schwer,V4,V2,4,0.26785714285714285,0.2232142857142857,0.2976190476190476,0.07440476190476192
medium,schwer,V4,V3,4,0.8024154589371981,0.782608695652174,0.8553030303030303,0.0726943346508564
medium,schwer,V4,V4,4,0.0,0.0,0.0,0.0
small,leicht,V1,V1,4,0.0,0.0,0.0,0.0
