dataset_id,case_id,is_id,size_class,severity,omega,winner,best_z
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-mittel,large,mittel,"(1.0, 1.0, 1.0, 1.0)",V4,1.0088985921834899
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,"(0.0, 0.0, 0.0, 1.0)",V1,0.0
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,"(0.0, 0.0, 1.0, 0.0)",V1,0.0
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,"(0.0, 1.0, 0.0, 0.0)",V1,0.0
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,"(0.25, 0.25, 0.25, 0.25)",V4,0.2645219173090453
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,"(1.0, 0.0, 0.0, 0.0)",V1,0.0
praxisnah_v1,sc-large__av-loose__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-loose__dp-weekend_high__sev-schwer,large,schwer,"(1.0, 1.0, 1.0, 1.0)",V4,1.0580876692361811
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,"(0.0, 0.0, 0.0, 1.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,"(0.0, 0.0, 1.0, 0.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,"(0.0, 1.0, 0.0, 0.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,"(0.25, 0.25, 0.25, 0.25)",V1,0.24998346342108743
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,"(1.0, 0.0, 0.0, 0.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-leicht,large,leicht,"(1.0, 1.0, 1.0, 1.0)",V1,0.9999338536843497
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,"(0.0, 0.0, 0.0, 1.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,"(0.0, 0.0, 1.0, 0.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,"(0.0, 1.0, 0.0, 0.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,"(0.25, 0.25, 0.25, 0.25)",V3,0.22164318350357629
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,"(1.0, 0.0, 0.0, 0.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-mittel,large,mittel,"(1.0, 1.0, 1.0, 1.0)",V3,0.8865727340143051
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,"(0.0, 0.0, 0.0, 1.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,"(0.0, 0.0, 1.0, 0.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,"(0.0, 1.0, 0.0, 0.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,"(0.25, 0.25, 0.25, 0.25)",V3,0.2589180775960851
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,"(1.0, 0.0, 0.0, 0.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekday_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekday_high__sev-schwer,large,schwer,"(1.0, 1.0, 1.0, 1.0)",V3,1.0356723103843404
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-leicht,large,leicht,"(0.0, 0.0, 0.0, 1.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-leicht,large,leicht,"(0.0, 0.0, 1.0, 0.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-leicht,large,leicht,"(0.0, 1.0, 0.0, 0.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-leicht,large,leicht,"(0.25, 0.25, 0.25, 0.25)",V3,0.2219918613186193
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-leicht,large,leicht,"(1.0, 0.0, 0.0, 0.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-leicht,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-leicht,large,leicht,"(1.0, 1.0, 1.0, 1.0)",V3,0.8879674452744772
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-mittel,large,mittel,"(0.0, 0.0, 0.0, 1.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-mittel,large,mittel,"(0.0, 0.0, 1.0, 0.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-mittel,large,mittel,"(0.0, 1.0, 0.0, 0.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-mittel,large,mittel,"(0.25, 0.25, 0.25, 0.25)",V3,0.25249034524996117
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-mittel,large,mittel,"(1.0, 0.0, 0.0, 0.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-mittel,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-mittel,large,mittel,"(1.0, 1.0, 1.0, 1.0)",V3,1.0099613809998447
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-schwer,large,schwer,"(0.0, 0.0, 0.0, 1.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-schwer,large,schwer,"(0.0, 0.0, 1.0, 0.0)",V1,0.0
praxisnah_v1,sc-large__av-tight__dp-weekend_high__sev-schwer,praxisnah_v1__sc-large__av-tight__dp-weekend_high__sev-schwer,large,schwer,"(0.0, 1.0, 0.0, 0.0)",V1,0.0
