size_class,severity,method,n_is,nd_size_median,nd_size_q1,nd_size_q3,nd_size_iqr,contrib_inclusive_median,contrib_inclusive_q1,contrib_inclusive_q3,contrib_inclusive_iqr,contrib_unique_median,contrib_unique_q1,contrib_unique_q3,contrib_unique_iqr,runtime_median_seconds_median,runtime_median_seconds_q1,runtime_median_seconds_q3,runtime_median_seconds_iqr,ttff_median_seconds_median,ttff_median_seconds_q1,ttff_median_seconds_q3,ttff_median_seconds_iqr,feasibility_rate_median,feasibility_rate_q1,feasibility_rate_q3,feasibility_rate_iqr
large,leicht,V1,4,5.5,4.75,6.5,1.75,0.03835978835978836,0.032777777777777774,0.048453493546951484,0.01567571576917371,0.030687830687830688,0.027222222222222224,0.035491766800178015,0.008269544577955791,32.711000000010245,30.63700000000972,34.73800000000483,4.100999999995111,3.4134999999951106,1.983749999992142,6.440999999998894,4.457250000006752,1.0,1.0,1.0,0.0
large,leicht,V2,4,2.0,1.75,2.25,0.5,0.007671957671957672,0.007222222222222223,0.012961726746773476,0.0057395045245512534,0.0,0.0,0.0016666666666666668,0.0016666666666666668,13.257999999987078,12.347999999998137,14.202999999986787,1.8549999999886495,2.1715000000112923,1.992000000012922,2.6832500000091386,0.6912499999962165,1.0,0.8333333333333334,1.0,0.16666666666666663
large,leicht,V3,4,39.5,38.75,42.75,4.0,0.06524749048113535,0.03611111111111111,0.11572837857884585,0.07961726746773475,0.05687088958116995,0.02888888888888889,0.10673490580032635,0.07784601691143746,71.96850000000268,71.34425000000192,72.80799999999726,1.4637499999953434,0.046999999991385266,0.046999999991385266,0.046999999991385266,0.0,1.0,1.0,1.0,0.0
large,leicht,V4,4,141.5,137.5,142.25,4.75,0.8956040152301834,0.834279038718291,0.9422222222222223,0.10794318350393128,0.8872274143302181,0.8252855659397715,0.9349999999999999,0.1097144340602284,90.0,90.0,90.0,0.0,0.038499999995110556,0.030999999988125637,0.04625000000669388,0.015250000018568244,1.0,1.0,1.0,0.0
large,mittel,V1,4,9.5,8.0,10.25,2.25,0.04956046566880494,0.03310028929604629,0.06113889957676029,0.028038610280714,0.04567435562648097,0.03162970106075217,0.05504040015390535,0.02341069909315318,35.570000000006985,35.04625000001397,35.832000000002154,0.7857499999881838,4.327999999994063,3.5072500000096625,6.441499999978987,2.9342499999693246,1.0,1.0,1.0,0.0
large,mittel,V2,4,2.0,1.0,3.25,2.25,0.0029411764705882353,0.0,0.006624154086413326,0.006624154086413326,0.0,0.0,0.0,0.0,12.49199999999837,11.757999999987078,13.273250000005646,1.5152500000185682,2.13300000000163,2.0900000000110595,2.8009999999922,0.7109999999811407,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666667
large,mittel,V3,4,43.0,42.0,44.25,2.25,0.08396668401874025,0.0551150895140665,0.1030634943662653,0.047948404852198805,0.07660072878709007,0.04852941176470589,0.09506020600609313,0.046530794241387244,72.125,71.59399999999005,72.71875000000728,1.1247500000172295,0.04700000000593718,0.046999999991385266,0.0507500000167056,0.0037500000253203325,1.0,1.0,1.0,0.0
large,mittel,V4,4,164.5,142.25,173.25,31.0,0.8836022904737115,0.8489167754727018,0.9230179028132992,0.07410112734059737,0.8766473802635808,0.841324532134049,0.9164322250639386,0.07510769292988961,90.00749999999243,90.0,90.01524999998946,0.015249999989464413,0.03150000001187436,0.03100000000995351,0.03575000000273576,0.00474999999278225,1.0,1.0,1.0,0.0
large,schwer,V1,4,8.5,7.75,9.5,1.75,0.045190713101160865,0.0346421302578019,0.05656732891832229,0.021925198660520395,0.042104293348074445,0.0346421302578019,0.051937699288692664,0.017295569030890766,38.40600000000268,37.53500000001077,40.70274999999674,3.167749999985972,6.781500000011874,2.1405000000158907,11.99275000000489,9.852249999988999,1.0,1.0,1.0,0.0
large,schwer,V2,4,1.0,0.0,2.25,2.25,0.0,0.0,0.0030864197530864196,0.0030864197530864196,0.0,0.0,0.0015432098765432098,0.0015432098765432098,12.265499999994063,12.058749999989232,12.554250000001048,0.49550000001181616,4.113000000004831,3.165499999999156,5.0605000000105065,1.8950000000113505,0.3333333333333333,0.0,0.75,0.75
large,schwer,V3,4,52.5,43.5,59.0,15.5,0.055695847362514025,0.039029923963698795,0.07974332881049298,0.040713404846794185,0.055695847362514025,0.037374294824625946,0.07974332881049298,0.042369033985867034,71.94549999998708,71.6449999999968,72.4257499999876,0.7807499999908032,0.0625,0.062000000005355105,0.06674999999813735,0.00474999999278225,1.0,1.0,1.0,0.0
large,schwer,V4,4,158.5,146.5,178.25,31.75,0.8963945005611672,0.8839828634604754,0.9034279048765804,0.019445041416105036,0.8963945005611672,0.8839828634604754,0.9017722757375075,0.017789412277032124,90.0,90.0,90.00374999999622,0.003749999996216502,0.046999999991385266,0.046999999991385266,0.046999999998661224,7.275957614183426e-12,1.0,1.0,1.0,0.0
medium,leicht,V1,4,6.0,4.75,7.25,2.5,0.03098471986417657,0.025315929497838376,0.04279930595720069,0.017483376459362314,0.019760422561780795,0.015962753574991686,0.028532870638133798,0.012570117063142112,24.39100000000326,24.195750000006228,24.574249999997846,0.3784999999916181,0.9450000000069849,0.8667500000010477,0.9727500000080909,0.10600000000704313,1.0,1.0,1.0,0.0
medium,leicht,V2,4,4.5,3.75,5.0,1.25,0.028060743255989437,0.021449950116395076,0.0329188355504145,0.011468885434019423,0.01683644595359366,0.012096774193548387,0.0186524002313476,0.006555626037799214,5.882499999992433,5.601499999997031,5.999499999998079,0.39800000000104774,0.8980000000010477,0.8394999999945867,0.9450000000069849,0.10550000001239823,1.0,1.0,1.0,0.0
medium,leicht,V3,4,43.5,34.0,53.75,19.75,0.039549044432386805,0.018211170273025944,0.058644595359366156,0.04043342508634021,0.03404774823657081,0.011597938144329897,0.05291454442558008,0.04131660628125018,65.77300000000105,64.99199999999837,66.47624999999971,1.4842500000013388,0.030999999988125637,0.027249999991909135,0.030999999988125637,0.003749999996216502,1.0,1.0,1.0,0.0
medium,leicht,V4,4,178.0,167.75,188.0,20.25,0.9103450313127732,0.9065978117336351,0.9263339753030475,0.019736163569412435,0.902162353775257,0.8995083863504917,0.9183987362820086,0.018890349931516948,90.0,90.0,90.0,0.0,0.01600000000325963,0.01575000000593718,0.020000000004074536,0.004249999998137355,1.0,1.0,1.0,0.0
medium,mittel,V1,4,8.0,7.5,8.5,1.0,0.03133931073129728,0.0282464700430682,0.03345474922947604,0.00520827918640784,0.02600168114317736,0.023728397753911577,0.028460353040067245,0.004731955286155668,24.30449999999837,24.136750000005122,24.65224999999191,0.5154999999867869,0.9299999999930151,0.906249999992724,0.9612499999930151,0.05500000000029104,1.0,1.0,1.0,0.0
